0,21987,10128,13594,15353,13589,16876,22267,17486,28922,18259,12828,17579,9540,20782,16138,21979,15551,14392,35975,33729,20401,35813,18182,10881,11007,21017,15357,19604,16542,15645,18618,19598,12957,16546,22474,18139,18975,25464,18571,20146,21459,18109,19172,16056,21054,12423,12664,31006,19250,33629,10820,16472,10045,21781,18378,28758,15834,28458,21735,18879,24317,17839,17196,25558,10087,16346,22775,19585,18988,23036,16921,16433,10008,20452,24564,12545,19857,13097,23075,18798,27394,12576,7394,9427,19328,19827,10409,16597,19156,10239,24007,11395,18866,23418,23127,16230,21261,22655,16891,16948,13561,19906,22836,17893,29537,29674,22086,13468,11020,21591,9768,21608,23339,21045,19908,23945,10635,14019,9579,13078,15277,19716,13664,20149,10314,32638,18506,29651,21326,14249,19710,15562,24878,16236,21972,14153,18619,17389,24735,13481,24129,17719,12753,21587,21991,13818,26325,20484,13966,16043,25714,19786,18702,19128,17303,17330,12192,11860,22718,14813,20017,17971,25152,18264,8968,21020,22889,31863,12620,20393,21694,15469,16653,18576,10332,9554,23904,16759,23058,20012,14245,19803,19701,16593,19834,20709,10002,14447,20615,34510,17888,18531,12355,37706,19570,12167,16169,17325,14363,18724,12471,13181,14036,25605,13708,25140,18628,22422,24541,15272,19056,21664,16730,23791,20977,20140,24450,21258,21573,25887,18027,29948,19410,23309,11898,17916,19051,18687,14205,21623,18100,11820,22029,20581,20935,13400,19415,18218,39868,9212,15185,21362,16547,32953,17654,16789,15443,16404,20421,11780,31808,19786,18117,23412,28121,16679,9863,23334,24563,10046,18617,17605,15421,10825,20818,17881,18249,14039,16865,16796,12200,23049,13702,20348,13485,24282,24145,20693,26322,28132,22329,23494,10666,20752,30071,23223,37554,11255,23412,9451,19558,13766,21826,18737,14694,13778,9055,27744,12535,17911,12551,26161,18592,17687,12196,17179,6194,27116,15593,19545,16837,18912,13024,21526,19699,7717,14741,19036,15102,21819,18403,18750,17322,16573,19065,15445,18456,18832,18659,4606
21987,0,137533,340310,547397,136598,71074,644903,573849,677949,205519,586023,362618,482603,700157,533498,681706,625068,706348,647195,710134,692408,794405,736784,277414,500111,217008,496751,678580,629090,701624,631319,515814,625454,798261,476354,675885,135006,691375,687360,498486,159227,594894,656349,695206,429618,216359,268595,681116,611558,773516,124233,500065,693900,606665,739281,663823,608702,615654,721096,626211,717843,462560,565657,771702,516805,259070,690313,649072,714644,600297,288584,598339,303817,659701,433658,587271,705558,625730,647682,469248,679982,275610,158608,120179,711930,615510,696002,416617,285672,457824,269564,650392,598815,481051,687760,600392,287164,572710,634686,482013,664875,665716,696211,372867,707077,674623,337374,610703,562969,595750,668982,658481,584057,687358,676220,583710,692177,607520,585234,615641,705428,707000,484051,623832,651699,712139,771178,741151,730540,287519,639936,428727,703348,672955,665153,575456,663250,688965,332308,612786,678153,616527,669104,744937,661045,576286,782414,743323,722404,759094,601127,722790,466504,688043,347431,225108,219168,238638,720745,137610,686064,383948,764475,696142,587819,619189,582250,671540,636156,650227,767165,693021,637945,707904,650533,172065,399826,416825,314264,726053,243872,681002,545558,739850,249128,707676,431775,685710,682429,678241,637808,672809,682810,630826,356788,712016,755754,668484,480713,756598,670751,233836,678742,456098,480700,164901,603027,599100,453807,678920,718806,695463,746523,609763,667097,151424,450110,719988,658864,451855,134961,613862,648058,576170,42253,728962,368874,633011,128413,661057,662786,316968,605685,748232,617144,559993,633848,629835,709549,664295,53186,587363,716425,710979,325830,717594,641110,566527,614958,260722,656254,722790,678712,686469,667595,690271,150625,548110,700049,294495,659746,286298,599502,624043,703446,695075,377175,651722,642504,668883,662962,721011,207319,556866,280059,777636,736220,673049,626393,658066,528699,651789,570973,614908,649776,724122,634312,93149,485207,319420,186384,656684,188560,684486,259105,293040,25767,414052,185546,590138,192083,501920,386073,135864,147026,227954,23831,194152,278757,465211,112581,65820,169808,686934,618354,62935,635806,175480,420586,381796,523225,222376,698253,81290,283131,715448,54614,85699,248128,134576
10128,137533,0,123466,124329,94209,55860,159592,137989,147146,119988,152812,135012,112500,143196,147249,175163,139519,146406,112024,166328,154773,167295,154076,161606,131446,146077,135927,159700,140007,163851,125441,171744,162888,162808,126017,160405,115954,148567,135409,155051,124859,138026,167074,136959,141644,157250,153327,145494,190889,154120,69466,151708,162076,147239,176635,161654,153228,151113,166098,166526,172963,121697,137669,152646,154867,120578,171258,142942,161272,155796,134795,138691,154982,146267,136171,152696,163816,161238,122925,173913,143828,106566,116907,116632,141945,146470,166565,156414,146267,151438,143822,150905,131278,159351,154955,149935,122970,153059,142643,142530,132950,149643,111334,148626,190636,156422,136914,135957,137475,143469,155301,151205,141283,154062,170888,144924,186501,172813,147649,140419,152375,148794,155291,160808,166818,195529,147931,184676,145068,144255,184952,126016,162512,141539,167024,164941,149162,159203,161054,173329,205290,115937,195515,139986,148739,104121,158578,165205,141301,139987,151628,163810,153711,153443,138783,118540,136280,129615,142771,115568,127791,162712,142519,148416,143215,141726,152330,129351,148052,165621,184216,158468,133272,174031,173386,151901,134070,149491,154829,180544,121544,146834,134294,145338,109457,156899,159884,158900,152934,150588,142797,158824,188385,149267,150751,132146,149711,138966,145732,130490,125265,109678,136500,149381,135812,120810,170389,152839,150197,162726,186177,179443,130031,150850,168873,116326,147578,163487,162872,133088,96300,122687,147807,153640,28875,140438,137464,131842,86710,147956,131623,100408,146291,154216,184741,158715,136542,154509,151250,174548,62140,147160,152767,147727,132873,157173,149150,116832,148919,120691,161309,163810,127976,148828,159745,157267,112298,142730,156680,92061,124918,139906,150758,130000,158378,171007,133540,153096,135185,145268,152032,165591,121591,145930,163212,183058,146410,106854,160959,152206,138684,152823,157828,163990,158516,158044,131111,78617,164241,132856,136243,146037,141549,149189,128623,122874,29957,141924,112491,107096,133992,141710,131368,73948,96267,138968,17438,93556,128477,123350,89107,68161,135493,154422,144503,60202,129557,98548,132133,138888,166080,147211,158755,79334,143847,166076,40429,60062,127620,66457
13594,340310,123466,0,399691,139064,81647,336623,339985,413304,200400,360844,279417,194386,393498,392103,388446,369891,444297,396305,361705,315753,424628,362365,185018,391157,122745,346839,340737,382302,356965,373582,315817,260971,367505,204913,378264,137119,296355,358490,342860,112695,432281,360577,419268,236973,206673,133824,379361,334381,327970,118040,287776,421202,298262,381306,368592,343321,407115,311709,372077,372163,357860,408969,251702,336491,212704,250725,356969,348317,347555,229253,262562,186911,343443,298588,353107,331791,373999,302921,319138,341498,256144,115887,125244,381999,405899,313137,265132,269308,215692,198394,316945,348905,233995,328831,393858,237534,320635,361815,254081,278640,376757,398972,315850,393071,349171,285963,400516,274496,378660,401049,376546,361705,317174,303699,295718,309622,232928,364314,244938,300026,354421,253001,228213,295973,321013,330320,375181,355541,177391,270312,265913,283671,389023,351699,365468,396645,380603,264838,403031,355353,308432,312701,339489,461430,383424,347384,391116,270470,400136,262169,354141,364627,362251,267756,162554,188196,185777,407487,120952,224046,296939,388800,427310,336630,325643,324179,405114,376000,407384,337696,378141,397897,349806,378999,120000,301890,315442,304968,406417,207554,350305,351463,356976,163130,397633,234758,411456,402331,427930,393057,376388,308736,347783,222569,380406,353957,349637,369373,359322,353104,216909,425037,243865,396417,92241,323275,397397,209236,359112,375827,367981,318459,322740,371693,157508,254236,312986,335742,245930,115333,403925,417286,375555,18995,361355,268301,346892,105623,454136,352862,250528,348028,357924,311090,295992,279085,338606,365038,433089,48221,239045,334945,373308,308905,328797,349638,287929,375432,163913,376623,354141,400427,376361,286443,376140,164781,363589,362658,302328,439093,289754,334378,379170,409403,298191,232896,395221,310513,373174,362234,352722,190121,389446,236712,400509,356006,357942,369982,433760,300187,340464,305502,369661,344608,323292,341507,94284,359835,164988,174939,414637,108784,371375,228941,302455,24364,283204,177247,397295,186937,356575,261560,174117,150595,219047,22181,213350,262378,172529,129599,44641,187481,378379,374908,63861,370598,137340,346479,236367,266897,167533,363251,69302,271680,439751,72347,82162,214242,113081
15353,547397,124329,399691,0,140249,73517,1218720,994753,9801204,196648,2108225,419875,347706,2990815,1308070,6020553,1464194,8908365,3732244,7972370,2189019,8556821,4707474,197079,686720,207463,566932,1714493,2470962,3105137,2939596,609925,903067,1323669,248834,10717415,134981,673172,2898964,459339,132362,2123628,4255759,8634474,351097,219908,145362,9068777,3251710,3453462,100126,430498,4371552,1222480,7282202,9522887,1276111,2894834,5188403,2352213,7234618,688543,1300072,819666,719923,226413,889405,1375358,1391562,2601461,181581,498066,193741,2710477,373900,1052058,2758945,831446,649848,432721,580703,282888,127972,118078,2126925,1122051,3637824,483719,358168,464706,258826,1721273,1055059,417167,3286786,1791421,238777,2300899,1297749,453650,762172,2403425,2481715,442970,7317842,1410757,365900,4162925,544539,10086247,1314612,4267706,670816,1445233,3199053,800655,2628785,1124298,4255025,631515,666331,8138220,512874,868772,961713,2649208,4739230,5354614,1295073,173081,1751895,476636,1025535,1899216,2544242,4695732,1270071,5665238,357621,3479180,6570097,733639,1603149,4601435,4003236,887131,1251431,4418534,1246039,6650205,968038,1502278,1501548,5916125,318165,173912,203010,153602,9322701,127335,581064,360119,6469251,7562972,1372227,1325804,803066,2035427,1438516,2317792,1676992,1975970,8267720,4756581,1800839,117293,343697,392494,419764,8254546,297138,1824753,614315,8488227,187594,6761570,297452,9394883,1317652,8844758,2505675,2113163,1238139,907365,297582,8612541,1807022,1047036,1034578,1578096,565036,242227,1529455,303189,550664,126844,516952,3976672,383635,1701111,1193974,1758493,2210291,1746732,860183,141571,420528,5475913,1551645,282693,98715,10020877,4614574,4311426,43838,2748612,342646,2230959,103540,5397316,1706522,252783,1204468,777643,2504920,586842,494930,647486,8641182,4663861,58421,1182814,1332844,2378343,330666,3130595,851484,901887,5628670,200557,3207007,1502278,2245735,2838067,5729033,1080247,189669,2176882,3283164,337027,5154903,357513,834146,1595039,9936037,1204902,364338,7691215,1006236,606726,5212558,3993962,178262,5738892,286267,8766422,4228810,3082450,1810180,6453012,2632159,8646888,647296,7362058,1561286,2311340,6436294,92752,643776,311148,177256,4416319,151382,1523524,269501,341203,24354,337826,197468,1557121,198656,1611251,374912,157373,131280,233978,24841,223040,247858,427968,151471,46216,196017,2667537,1085188,67560,1375801,140922,537743,386066,628305,177574,5052594,65909,278592,8813923,64961,101704,271562,129765
13589,136598,94209,139064,140249,0,71467,127613,142175,163050,106795,136173,163256,90228,143930,136139,151451,163041,153684,143292,141542,146931,187736,176421,142122,154408,72317,125851,127879,133374,133776,135700,160096,94186,145065,99200,148947,89180,98728,142004,144758,106835,142763,152106,173824,130376,147453,95912,174697,141730,121637,89833,136538,155359,108093,153389,163426,121616,144596,123610,139404,160689,145615,147758,113785,123653,123385,115312,127859,132334,141347,103188,108806,106322,171288,129313,116444,111392,130550,124672,130325,126811,100526,96010,91549,135742,154400,121431,132157,125047,112166,110313,118609,123299,104561,146392,172919,96272,135736,149581,133884,112271,136631,161048,129620,135729,132290,145501,137793,106244,178446,159080,148575,154106,119980,119075,116985,115521,68996,141628,106459,103653,154541,108604,108771,114881,129765,130574,150455,121904,122691,114474,146815,147708,145546,149856,165175,131526,123850,130242,148001,141093,117985,136727,153421,149915,150985,146619,163566,100852,168606,116978,137529,141798,141219,124448,112103,122918,89587,149383,126910,106785,150969,154771,164396,122460,126515,128556,140013,121078,141503,119679,150652,169614,156715,166678,74294,141216,135119,119605,149686,137775,157529,156081,163307,105830,137244,122721,151454,144213,173353,153698,151751,148708,134276,94065,156186,142870,147982,131229,156574,130348,130793,154471,125460,143299,67545,155544,153526,136928,154178,145264,161968,131323,98284,131296,126925,119385,133306,129744,101476,104440,142553,173232,159824,22904,132660,105572,121935,88724,147277,138731,68068,149367,126622,120263,133975,115034,118898,165851,154306,38720,115401,126888,147486,155164,149307,110690,106001,146967,93373,140472,137529,140493,150313,127913,130457,120402,158510,134237,134677,147989,150977,145158,152644,141239,131404,128631,142700,130138,135473,157571,138948,111080,156739,115605,166546,165457,144003,158845,161824,148050,153371,143170,174576,131970,134286,152316,78969,146991,115986,98085,190142,75888,160718,139546,155490,12744,132051,117452,137644,113235,149921,160983,116327,97472,121210,22542,118292,131038,88315,96231,38545,143128,165820,163982,60292,136692,91232,152679,89717,124971,125021,133716,65454,109474,164807,58779,72761,122998,93425
16876,71074,55860,81647,73517,71467,0,76525,80517,92306,70375,76612,63298,37557,89082,77624,80080,73137,78400,85632,79374,74482,96336,90684,89167,88819,48808,90799,71343,81074,75858,72420,80848,60468,84941,48740,82218,60879,65302,96082,86606,73719,86147,73679,86865,63331,77812,60267,87771,85340,63349,64534,70610,95149,62631,75007,97671,68878,89115,70694,87984,64841,67090,84475,46677,71259,70926,82809,66686,74575,87764,50276,53899,64847,81051,64457,71848,77921,81416,65842,76742,72680,64899,49559,62008,77829,97379,72721,72023,59755,54536,63374,81942,59008,53703,73550,86760,52956,72609,84492,76282,63312,78109,89319,70679,82493,80118,75772,87689,52451,72211,90910,91153,74562,74880,69756,76523,61637,47449,74888,69326,79202,92455,66019,63733,74507,61998,70132,101119,83718,61948,80230,83999,77691,90032,86836,84214,66791,70554,67020,80301,69618,65261,66437,73899,84939,92427,67594,93619,59719,73983,66464,64180,92771,96390,72686,66029,59507,48492,74741,80935,50431,60525,73124,83606,64804,81326,80788,81495,72914,82794,81429,86461,93541,79555,82001,27990,78402,70568,72321,81939,77607,69079,80183,86880,60085,78199,77179,93542,79041,97256,90115,90518,72572,83391,55343,95538,81029,72393,76359,84966,50366,78291,79752,60605,74524,53907,75354,82331,62625,77643,76305,80114,80622,66072,83821,77514,81608,77102,62919,35343,68390,88893,87910,80957,20528,71543,70719,77760,64501,89429,81640,55155,70091,63172,64228,71267,70800,61315,93553,85119,32846,51232,94577,69563,79471,88773,63391,53863,76763,47260,93073,64180,81856,78405,81138,81825,82676,82475,62867,84018,80778,82015,75767,76235,78678,61346,58818,80942,75743,72676,88641,72319,71809,96668,67767,87126,78073,102801,75911,71688,74439,81520,66745,95648,80641,71101,82163,69279,66745,64556,55787,86069,62425,71650,81804,84096,17994,61898,86515,94201,63904,77267,83774,65267,67300,64846,21301,69720,66076,51600,70918,50731,86738,87144,73840,52947,72880,54810,75702,61808,62484,70885,77132,51576,76238,89897,44324,52680,72124,66871
22267,644903,159592,336623,1218720,127613,76525,0,899712,1818689,285490,1851560,462668,682419,1551000,1144822,1837568,1228233,1550266,1670909,1879524,1729208,2043935,1637965,280955,694908,296267,641197,1674350,1577704,1815735,1443879,619841,1594079,1604946,531743,1629074,156745,1236160,1747780,575107,165662,1274873,2177193,1892249,378197,210939,250713,1480818,1735308,1770992,123657,524721,1581933,1510813,2041878,1556822,1461365,1667894,2005558,1820218,1820642,690005,1185003,1520507,863463,230345,1384171,1479699,1902148,1775543,319370,1116271,284791,1560625,452576,1359946,1850773,1177591,1294873,488099,935268,335209,163733,146731,1777730,948330,2029127,714326,386933,562691,277546,1820466,1406775,656863,1707252,1343819,308180,1555456,1291220,440081,1266611,1596695,1467344,432362,1952284,1668665,375883,1645291,1141451,1299637,1628608,1444967,791656,1627998,1842668,1255902,1806490,1608197,1646038,1100413,1117782,1969098,970123,748084,1653596,1634562,1835628,1764460,1609670,278601,1767059,404509,995037,1270044,1860977,1657513,1570430,1810958,525671,1770946,1833803,820687,1768029,1817075,1688744,788581,1196649,1779414,1683450,1792189,1702118,1640472,1385561,1912048,365541,183508,214479,300919,1357604,130567,949049,503311,1698484,1667387,1728226,1292125,889335,1565889,1577493,1621869,1769866,1808884,1575217,1721565,1535894,224975,461370,404685,483978,1809727,262709,1772395,537054,1533718,219737,1857043,471270,1429163,1673352,1548707,1275396,1570287,1665653,973383,374258,1667723,1626987,1224162,950957,1532136,928479,235063,1109267,516531,517058,125174,602279,1539659,545804,1495187,1824428,1604171,1594188,1886388,1006193,183486,561964,1778986,1809546,491910,100088,1712458,1635978,1783174,26001,1575664,379596,1627567,118056,1768009,1476414,396432,1382622,1497538,1739632,693316,722632,1054138,1480604,1720990,56454,1580846,1597616,1846342,310286,1754395,1087112,893454,1678365,307160,1540467,1640472,1687456,1711585,1539246,1286760,179050,1480154,1686922,275957,1679772,371431,951477,1633916,1576707,1932171,476060,1494376,1166270,925337,1650650,2107098,234485,1393925,334906,1543385,1853802,1485831,1483396,1866230,1677318,1880230,877343,1355688,1364623,1665519,2180988,93381,804078,348257,232570,1686293,177094,1482525,279972,366070,33008,408614,229623,1054256,238343,1105314,402901,176362,222569,283231,22884,206435,308895,602191,280652,58511,210733,1699099,1302142,69925,1227911,152914,507629,471398,779188,202827,1977517,78443,589686,1936938,60000,95382,329266,113717
17486,573849,137989,339985,994753,142175,80517,899712,0,1059444,207119,943330,407957,347521,760206,774417,890875,862844,1150109,1184504,874092,891734,1101639,1089631,225459,615167,175429,542800,717447,836166,881562,1073032,453326,469825,670972,288144,1121327,114437,748378,1155361,450719,133809,940332,856083,1053810,289378,215349,171416,958106,849147,857879,108958,414835,1007141,633509,890366,1080054,844300,1048814,908141,922337,904027,536024,783402,572597,641166,225563,702253,752790,704481,860094,219230,550498,206984,831386,371880,738700,858702,641858,549061,364605,549290,249761,130554,112470,1058497,809798,775801,494465,327436,355155,194759,975467,639339,463251,894935,1048785,220540,987473,897331,454586,686998,874402,1009006,388724,1025147,817479,337675,947627,478477,1034443,852239,1078747,657984,793614,765083,516674,774955,460986,969090,538346,489706,1074969,444265,413753,531031,704075,855844,886711,637826,202610,515777,421233,751589,1041015,997716,1158423,916721,1067411,334103,998206,881624,637136,645888,899551,1004399,734318,835951,922924,508643,1067770,534049,773974,897983,969486,287852,158608,196651,163723,1110106,110837,562565,467788,850847,1003271,924227,858941,706109,925311,839713,1020188,818954,880980,1142091,938327,1060589,84527,356706,312799,446387,1039076,280983,880747,543991,1117836,222605,945685,335379,974721,794788,989922,970089,997628,828647,731568,268883,1239617,1004002,918949,759462,913708,513201,240351,890933,400301,501858,107529,469161,947417,414367,852675,734072,909762,864145,821026,688076,165276,404592,860517,767488,302120,110693,1121843,1064863,970283,31788,875744,327740,858316,94453,1008237,774509,255524,864642,638822,761774,553078,394254,738795,958343,1026120,45642,617402,931732,868646,319988,842778,478279,558682,1105589,161245,1002070,773974,1009899,961656,800548,753495,169818,985042,881266,314546,1047771,344272,664007,851099,1183396,728760,387042,1081818,779932,545824,987387,965377,170876,981399,219154,1061729,837712,938995,849095,1134664,998137,1024085,621284,1013790,802193,739260,1022302,87530,562893,275530,137311,1051205,151611,912584,252495,308177,27750,326809,176921,930311,188815,948758,360093,159529,153792,217599,22413,205910,272307,249324,180388,60928,235591,1004924,665856,68507,920460,144328,458571,288525,556213,182077,1159127,59713,360528,1089663,58427,92879,232309,125496
28922,677949,147146,413304,9801204,163050,92306,1818689,1059444,0,230525,2499791,464007,606635,4020123,1545987,35386412,1652645,18924168,3915552,11942447,2983072,153779314,6177638,253270,725629,269855,701026,2256047,2453786,4337501,3079836,595184,1434421,2191988,446224,25421330,161163,1070805,3785299,558784,156877,2499733,6284969,14875211,392490,203491,206720,12818223,4165890,5150600,120449,530917,4686175,1778566,12364921,39489498,1477394,3450239,16474349,2527883,13830564,664592,1381048,1330194,789639,301696,1387837,1726349,1861583,2931534,304612,852931,268333,3363477,428937,1568038,3505712,1219366,1373661,485643,844269,371952,172854,140031,2477587,1058652,6121938,649559,389328,496085,245677,2239768,1238768,608983,4111239,2209559,331669,2745163,1419689,601607,1111065,2648099,2864609,438639,20664161,1854324,427953,4347217,980211,14582637,2080370,4995798,691842,1662993,4841476,1153472,3714049,2009517,5604805,1173263,1087789,16459787,801511,1645076,1887831,3632057,6268200,7316232,1875164,314077,3434722,429651,982237,2133227,2850062,5146853,1591111,9021886,445522,4227984,13180698,873830,2261852,6507472,4062900,953026,1384652,5788873,2159634,7361689,1640418,1892217,1500921,9553792,337612,174334,257408,216656,32328218,143805,915702,484883,10673744,9522401,1724101,1619097,980240,2207876,1611903,2875197,2079426,2631825,11198767,6608479,1905331,187093,382087,381260,421313,19725458,319113,2563548,656993,12211658,234404,42953504,412195,28199579,1769285,14785914,2798245,2472479,1904599,1067006,353694,10615674,2147304,1293229,1070793,2125635,836261,259721,1490223,464066,648812,129336,609758,4723650,464466,1952425,1815667,2005954,2605086,2023610,1053378,142034,493924,11914998,2324599,461674,132948,36082918,6251880,6443280,42140,3520296,434095,2975076,116362,6378688,2589333,386280,1322146,1221541,3604495,680933,597697,842717,31148958,6428855,66198,1993207,1941825,2479814,361859,3791801,1105812,1188202,5674000,278170,3771414,1892217,2580510,3979416,9244145,1363131,210439,2426268,4164458,324202,5857389,353499,914061,1970947,30703565,2195572,450627,9168015,1311994,826569,6433209,5417378,203071,6174433,307155,19307306,6052486,3650702,2000611,8671587,2905071,28440502,813077,10689830,1807146,3297099,8664663,100735,794443,323101,256253,5201384,182342,1635092,324280,373721,30722,518450,193400,1520365,224016,1561511,434599,169359,184137,280391,27907,283619,331988,550129,173415,66593,231861,2998148,1383825,72239,1366287,148263,609548,427250,708205,199205,18606621,89951,360675,135530933,67003,94892,247672,139163
